LOC127239154,130974.0,3.0,7.0
LOC124905685,2818.0,1.0,2.0
LOC101928626,1633.0,1.0,3.0
OR4F16,937.0,1.0,2.0
SEPTIN14P14,2583.0,,
CICP3,3770.0,,
LOC100288069,52902.0,1.0,20.0
RNU6-1199P,103.0,,
LINC01409,8423.0,2.0,4.0
FAM87B,2463.0,1.0,2.0
LINC00115,1316.0,1.0,1.0
LINC01128,31853.0,3.0,8.0
LOC107984850,8020.0,2.0,5.0
FAM41C,9675.0,1.0,3.0
TUBB8P11,1223.0,,
LOC124905686,3726.0,1.0,4.0
LINC02593,2874.0,1.0,5.0
LOC107985728,5350.0,1.0,5.0
SAMD11,19750.0,2.0,17.0
NOC2L,15096.0,1.0,19.0
KLHL17,5056.0,7.0,23.0
PLEKHN1,9381.0,4.0,23.0
PERM1,8026.0,2.0,9.0
HES4,1133.0,1.0,6.0
RPL39P12,230.0,,
ISG15,1043.0,1.0,2.0
AGRN,35934.0,4.0,43.0
LOC100288175,6662.0,1.0,4.0
LOC105378948,3781.0,1.0,6.0
RNF223,3339.0,1.0,2.0
C1orf159,34268.0,1.0,13.0
LOC124903820,33238.0,2.0,4.0
LINC01342,7038.0,1.0,3.0
LOC124903818,7662.0,1.0,2.0
MIR200B,94.0,3.0,3.0
MIR200A,89.0,3.0,3.0
MIR429,82.0,2.0,2.0
TTLL10-AS1,6499.0,1.0,2.0
TTLL10,23840.0,10.0,26.0
TNFRSF18,3084.0,1.0,8.0
TNFRSF4,2827.0,4.0,11.0
SDF4,15074.0,3.0,10.0
B3GALT6,2804.0,1.0,1.0
C1QTNF12,5260.0,3.0,13.0
UBE2J2,19961.0,7.0,17.0
SCNN1D,14108.0,1.0,18.0
ACAP3,15562.0,3.0,27.0
MIR6726,60.0,3.0,3.0
SNORD167,83.0,1.0,1.0
PUSL1,3080.0,4.0,13.0
INTS11,13094.0,2.0,25.0
MIR6727,64.0,3.0,3.0
CPTP,4094.0,1.0,5.0
TAS1R3,4040.0,2.0,9.0
DVL1,14181.0,2.0,18.0
MIR6808,58.0,3.0,3.0
MXRA8,10862.0,4.0,16.0
AURKAIP1,1471.0,1.0,6.0
CCNL2,14899.0,5.0,26.0
MRPL20-AS1,2516.0,1.0,3.0
MRPL20,5384.0,1.0,5.0
RN7SL657P,292.0,,
MRPL20-DT,2336.0,1.0,1.0
ANKRD65,3967.0,3.0,11.0
ANKRD65-AS1,2811.0,1.0,2.0
TMEM88B,6815.0,1.0,4.0
LINC01770,4416.0,1.0,4.0
LOC107985729,2316.0,1.0,4.0
VWA1,7192.0,1.0,4.0
ATAD3C,20473.0,1.0,12.0
