"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_name","Gene_type","Intron_Length","Exon_Length","splice5","splice3","ssstrength5","ssstrength3","ss5conservation","ss3conservation","codingpotential","branchpt_len"
"ENSG00000223972.5",2540,2,9,"DDX11L1","transcribed_unprocessed_pseudogene",277,109,4,0,7.15,-13.67,NA,NA,0.03980915,"94"
"ENSG00000227232.5",15166,1,11,"WASH7P","unprocessed_pseudogene",370,137,1,0,-15.86,-17.485,NA,NA,0.77968,"266"
"ENSG00000243485.5",1555,2,5,"MIR1302-2HG","lncRNA",308,134,1,0,8.27,-2.28,0.001,0.026,0.044296,"147"
"ENSG00000237613.2",1527,1,3,"FAM138A","lncRNA",170.5,361,1,0,-13.46,-19.38,NA,NA,0.0772166,"12"
"ENSG00000240361.2",6518,2,4,"OR4G11P","transcribed_unprocessed_pseudogene",2552.5,548,1,0,3.555,-4.915,NA,NA,0.999986,"14"
"ENSG00000186092.7",6166,1,3,"OR4F5","protein_coding",1774.5,54,1,0,9.04,-0.46,NA,NA,0.999971,"5.5"
"ENSG00000238009.6",44428,2,8,"ENSG00000238009","lncRNA",6060,154,1,0,-8.45,-9.98,NA,NA,0.115806,"11"
"ENSG00000239945.1",1554,1,2,"ENSG00000239945","lncRNA",236,659.5,1,0,-12.56,-27.3,NA,NA,0.049184,"184"
"ENSG00000239906.1",549,1,2,"ENSG00000239906","lncRNA",227,161.5,1,0,-2.65,-5.28,0.013,0.01,0.0962049,"26"
"ENSG00000241860.7",32388,3,13,"ENSG00000241860","lncRNA",2086.5,162,1,0,-17.7,-14.44,NA,NA,0.0762696,"27.5"
"ENSG00000241599.1",1079,1,2,"ENSG00000241599","lncRNA",623,228.5,1,0,7.79,-9.01,0.115,0.089,0.00788823,"166"
"ENSG00000279928.2",1478,1,5,"DDX11L17","unprocessed_pseudogene",222.5,85,4,0,4.145,-14.44,NA,NA,0.0429867,"94"
"ENSG00000279457.4",10194,1,10,"WASH9P","unprocessed_pseudogene",206,141.5,1,0,-19.44,-20.43,NA,NA,0.999995,"165"
"ENSG00000228463.10",101817,3,7,"ENSG00000228463","transcribed_processed_pseudogene",3369.5,457,1,0,-31.895,-14.605,NA,NA,0.283702,"17"
"ENSG00000286448.1",1800,1,2,"ENSG00000286448","lncRNA",1065,368,1,0,10.77,-2.79,0.33,0.075,0.041371,"10"
"ENSG00000236601.2",7195,1,2,"ENSG00000236601","lncRNA",5002,497,1,0,10.47,2.42,0.01,0.005,0.0442701,"6"
"ENSG00000237094.12",157539,3,7,"ENSG00000237094","transcribed_unprocessed_pseudogene",4176.5,133,1,0,-18.735,-20.325,NA,NA,0.0584332,"23"
"ENSG00000233653.3",2805,1,2,"CICP7","processed_pseudogene",329,1238.5,2,0,-17.62,-7.51,0.003,0.018,0.5834,"161"
"ENSG00000250575.1",2016,1,2,"ENSG00000250575","unprocessed_pseudogene",778,619.5,0,0,-32.4,-18.44,NA,0.082,0.241491,"534"
"ENSG00000230021.10",241725,3,10,"ENSG00000230021","transcribed_processed_pseudogene",6641,131.5,4,0,-19.76,-20.03,0.034,NA,0.0883475,"15"
"ENSG00000235146.2",7139,1,2,"ENSG00000235146","lncRNA",6533,303.5,1,0,8.68,-4.69,0.031,0.006,0.09575675,"6"
"ENSG00000229376.3",2811,1,2,"CICP3","processed_pseudogene",357,1227.5,2,0,-11.24,-5.19,0.001,0.008,0.597505,"165"
"ENSG00000228327.5",52803,3,19,"ENSG00000228327","transcribed_unprocessed_pseudogene",2160,117,1,0,-17.69,-14.44,NA,NA,0.125627,"26"
"ENSG00000229905.1",1078,1,2,"ENSG00000229905","lncRNA",623,228,1,0,7.79,-9.01,0.012,0.024,0.0154179,"166"
"ENSG00000237491.10",31318,6,20,"LINC01409","lncRNA",2250,301,1,0,8.49,-5.71,NA,NA,0.07382175,"86"
"ENSG00000230092.7",16833,2,6,"ENSG00000230092","transcribed_unprocessed_pseudogene",2682,94,1,0,-20.03,-14.145,NA,NA,0.06283305,"8"
"ENSG00000177757.2",2466,1,2,"FAM87B","lncRNA",520,973.5,1,0,8.91,-0.15,NA,0.024,0.590738,"8"
"ENSG00000228794.12",34308,10,35,"LINC01128","lncRNA",1227,153,4,0,9.14,-1.95,NA,NA,0.0483639,"14"
"ENSG00000288531.1",7976,2,5,"ENSG00000288531","lncRNA",3986,1047,1,0,7.4,-12.13,NA,NA,0.375757,"5"
"ENSG00000230368.2",8832,2,7,"FAM41C","lncRNA",852,158,1,0,-20.05,-19.57,NA,NA,0.0264794,"89"
"ENSG00000283040.1",2705,1,5,"ENSG00000283040","transcribed_unprocessed_pseudogene",412.5,100,0,2,-8.015,-15.675,NA,NA,0.116671,"10"
"ENSG00000272438.1",11142,1,2,"ENSG00000272438","lncRNA",10792,175.5,2,0,-0.68,-5.62,0.026,NA,7.17899e-06,"19"
"ENSG00000230699.2",3513,1,2,"ENSG00000230699","lncRNA",471,1521.5,1,0,3.25,-24.27,0.001,0.126,0.235109,"14"
"ENSG00000241180.1",800,1,2,"ENSG00000241180","lncRNA",358,221.5,1,0,9.6,-1.7,NA,NA,0.156611,"151"
"ENSG00000223764.2",4151,1,4,"LINC02593","lncRNA",419,224.5,1,0,-16.81,-13.67,NA,NA,0.3026,"23"
"ENSG00000187634.13",20652,2,17,"SAMD11","protein_coding",702,125,1,0,9.22,-1.1,NA,NA,1,"415"
"ENSG00000188976.11",15106,1,19,"NOC2L","protein_coding",432,114,1,0,-8.905,-16.435,NA,NA,0.9998585,"205.5"
"ENSG00000187961.15",5135,1,12,"KLHL17","protein_coding",191,175,4,0,6.3,-2.12,NA,NA,0.6635695,"103"
"ENSG00000187583.11",9383,2,20,"PLEKHN1","protein_coding",137,132,1,0,8.69,-0.72,NA,NA,1,"283"
"ENSG00000187642.10",6919,3,10,"PERM1","protein_coding",891,126,1,0,-11.64,-21.2,NA,NA,1,"422"
"ENSG00000188290.11",1210,3,8,"HES4","protein_coding",93,174,1,0,-11.43,-21.87,NA,NA,0.967592,"130"
"ENSG00000187608.10",13402,2,4,"ISG15","protein_coding",5704,144,1,0,9.33,-17.81,NA,NA,0.957738,"280"
"ENSG00000224969.1",1196,1,2,"ENSG00000224969","lncRNA",726,235.5,2,0,-25.93,-13.25,0.003,0.005,0.0106427,"190"
"ENSG00000188157.15",35998,2,41,"AGRN","protein_coding",134,165,1,0,8.28,-10.27,NA,NA,0.7884395,"186.5"
"ENSG00000242590.1",1083,1,2,"ENSG00000242590","lncRNA",682,201,1,0,4.05,4.17,0,NA,0.257866,"155"
"ENSG00000217801.12",9668,2,14,"ENSG00000217801","transcribed_unprocessed_pseudogene",643,123,1,1,6.71,2.62,NA,NA,0.00742993,"247"
