"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_name","Gene_type"
"ENSG00000223972.5",2540,2,9," DDX11L1"," transcribed_unprocessed_pseudogene"
"ENSG00000227232.5",15166,1,11," WASH7P"," unprocessed_pseudogene"
"ENSG00000278267.1",67,1,1," MIR6859-1"," miRNA"
"ENSG00000243485.5",1555,2,5," MIR1302-2HG"," lncRNA"
"ENSG00000284332.1",137,1,1," MIR1302-2"," miRNA"
"ENSG00000237613.2",1527,1,3," FAM138A"," lncRNA"
"ENSG00000268020.3",839,1,1," OR4G4P"," unprocessed_pseudogene"
"ENSG00000240361.2",6518,2,4," OR4G11P"," transcribed_unprocessed_pseudogene"
"ENSG00000186092.7",6166,1,3," OR4F5"," protein_coding"
"ENSG00000238009.6",44428,2,8," ENSG00000238009"," lncRNA"
"ENSG00000239945.1",1554,1,2," ENSG00000239945"," lncRNA"
"ENSG00000233750.3",3811,1,1," CICP27"," processed_pseudogene"
"ENSG00000268903.1",754,1,1," ENSG00000268903"," processed_pseudogene"
"ENSG00000269981.1",283,1,1," ENSG00000269981"," processed_pseudogene"
"ENSG00000239906.1",549,1,2," ENSG00000239906"," lncRNA"
"ENSG00000241860.7",32388,3,13," ENSG00000241860"," lncRNA"
"ENSG00000222623.1",103,1,1," RNU6-1100P"," snRNA"
"ENSG00000241599.1",1079,1,2," ENSG00000241599"," lncRNA"
"ENSG00000279928.2",1478,1,5," DDX11L17"," unprocessed_pseudogene"
"ENSG00000279457.4",10194,1,10," WASH9P"," unprocessed_pseudogene"
"ENSG00000273874.1",67,1,1," MIR6859-2"," miRNA"
"ENSG00000228463.10",101817,3,7," ENSG00000228463"," transcribed_processed_pseudogene"
"ENSG00000286448.1",1800,1,2," ENSG00000286448"," lncRNA"
"ENSG00000236679.2",384,1,1," RPL23AP24"," processed_pseudogene"
"ENSG00000236601.2",7195,1,2," ENSG00000236601"," lncRNA"
"ENSG00000237094.12",157539,3,7," ENSG00000237094"," transcribed_unprocessed_pseudogene"
"ENSG00000269732.1",362,1,1," WBP1LP7"," processed_pseudogene"
"ENSG00000284733.2",938,1,1," OR4F29"," protein_coding"
"ENSG00000233653.3",2805,1,2," CICP7"," processed_pseudogene"
"ENSG00000250575.1",2016,1,2," ENSG00000250575"," unprocessed_pseudogene"
"ENSG00000278757.1",103,1,1," U6"," snRNA"
"ENSG00000230021.10",241725,3,10," ENSG00000230021"," transcribed_processed_pseudogene"
"ENSG00000235146.2",7139,1,2," ENSG00000235146"," lncRNA"
"ENSG00000225972.1",371,1,1," MTND1P23"," unprocessed_pseudogene"
