"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length","Intron_Length"
"LOC127239154",130974,3,7,"lncRNA",NA,NA
"LOC124905685",2818,1,2,"lncRNA",141.5,"2536"
"LOC101928626",1633,1,3,"lncRNA",267,"416"
"OR4F16",937,1,2,"protein_coding",NA,NA
"SEPTIN14P14",2583,NA,NA,"pseudogene",NA,NA
"CICP3",3770,NA,NA,"pseudogene",NA,NA
"LOC100288069",52902,1,20,"lncRNA",150.5,"2061"
"RNU6-1199P",103,NA,NA,"pseudogene",NA,NA
"LINC01409",8423,2,4,"lncRNA",1573.5,"4060.5"
"FAM87B",2463,1,2,"lncRNA",972,"520"
"LINC00115",1316,1,1,"lncRNA",1317,NA
"LINC01128",31853,3,8,"lncRNA",168.5,"1226"
"LOC107984850",8020,2,5,"lncRNA",783,"3986"
"FAM41C",9675,1,3,"lncRNA",605,"3985"
"TUBB8P11",1223,NA,NA,"pseudogene",NA,NA
"LOC124905686",3726,1,4,"lncRNA",285.5,"305"
"LINC02593",2874,1,5,"lncRNA",226,"419"
"LOC107985728",5350,1,5,"lncRNA",131,"219.5"
"SAMD11",19750,2,17,"protein_coding",125,"509.5"
"NOC2L",15096,1,19,"protein_coding",114,"432"
"KLHL17",5056,7,23,"protein_coding",175,"191"
"PLEKHN1",9381,4,23,"protein_coding",NA,NA
"PERM1",8026,2,9,"protein_coding",1072,"1017"
"HES4",1133,1,6,"protein_coding",NA,NA
"RPL39P12",230,NA,NA,"pseudogene",NA,NA
"ISG15",1043,1,2,"protein_coding",318.5,"407"
"AGRN",35934,4,43,"protein_coding",149,"134"
"LOC100288175",6662,1,4,"lncRNA",117.5,"2597"
"LOC105378948",3781,1,6,"lncRNA",274,"1402.5"
"RNF223",3339,1,2,"protein_coding",950,"1440"
"C1orf159",34268,1,13,"protein_coding",85,"1126"
"LOC124903820",33238,2,4,"lncRNA",1191,"1804"
"LINC01342",7038,1,3,"lncRNA",208,"2709.5"
"LOC124903818",7662,1,2,"lncRNA",NA,NA
"MIR200B",94,3,3,"miRNA",95,NA
"MIR200A",89,3,3,"miRNA",90,NA
"MIR429",82,2,2,"miRNA",83,NA
"TTLL10-AS1",6499,1,2,"lncRNA",1766,"2968"
"TTLL10",23840,10,26,"protein_coding",130,"429"
"TNFRSF18",3084,1,8,"protein_coding",165.5,"883"
"TNFRSF4",2827,4,11,"protein_coding",129,"242"
"SDF4",15074,3,10,"protein_coding",159,"1857"
"B3GALT6",2804,1,1,"protein_coding",2805,NA
"C1QTNF12",5260,3,13,"protein_coding",NA,NA
"UBE2J2",19961,7,17,"protein_coding",121,"866"
"SCNN1D",14108,1,18,"protein_coding",113,"166.5"
"ACAP3",15562,3,27,"protein_coding",NA,NA
"MIR6726",60,3,3,"miRNA",61,NA
"SNORD167",83,1,1,"snoRNA",84,NA
"PUSL1",3080,4,13,"protein_coding",163,"239"
"INTS11",13094,2,25,"protein_coding",99,"116"
"MIR6727",64,3,3,"miRNA",65,NA
"CPTP",4094,1,5,"protein_coding",NA,NA
"TAS1R3",4040,2,9,"protein_coding",279,"114"
"DVL1",14181,2,18,"protein_coding",122,"205"
"MIR6808",58,3,3,"miRNA",59,NA
"MXRA8",10862,4,16,"protein_coding",102,"121"
"AURKAIP1",1471,1,6,"protein_coding",126.5,"259"
"CCNL2",14899,5,26,"protein_coding",115,"494.5"
"MRPL20-AS1",2516,1,3,"lncRNA",160,"384.5"
"MRPL20",5384,1,5,"protein_coding",137,"1022"
"RN7SL657P",292,NA,NA,"pseudogene",NA,NA
"MRPL20-DT",2336,1,1,"lncRNA",2337,NA
"ANKRD65",3967,3,11,"protein_coding",190,"696.5"
"ANKRD65-AS1",2811,1,2,"lncRNA",454,"1904"
"TMEM88B",6815,1,4,"protein_coding",484,"426"
"LINC01770",4416,1,4,"lncRNA",446,"3525"
"LOC107985729",2316,1,4,"protein_coding",158,"133"
"VWA1",7192,1,4,"protein_coding",558,"1350.5"
"ATAD3C",20473,1,12,"protein_coding",117,"1287"
"ATAD3B",37834,10,30,"protein_coding",117,"982"
"ATAD3A",22523,4,22,"protein_coding",105.5,"1150"
"TMEM240",5846,1,4,"protein_coding",272,"499"
"SSU72",33192,1,5,"protein_coding",144,"5632"
"FNDC10",2123,1,1,"protein_coding",2124,NA
"LOC105378586",7777,1,3,"lncRNA",184,"3603"
"MIB2",16874,5,31,"protein_coding",149,"189"
"MMP23B",2478,1,10,"protein_coding",NA,NA
"CDK11B",23957,12,36,"protein_coding",122,"548"
"SLC35E2B",31291,1,10,"protein_coding",136,"1274"
"LOC100288379",1152,NA,NA,"pseudogene",NA,NA
"MMP23A",1869,1,6,"transcribed_pseudogene",149.5,"120"
"CDK11A",21914,1,24,"protein_coding",122,"548"
"SLC35E2A",18686,2,8,"transcribed_pseudogene",347,"1612.5"
"LOC100129381",1467,NA,NA,"pseudogene",NA,NA
"LOC112268218",5973,1,2,"lncRNA",953.5,"4067"
"NADK",29251,7,24,"protein_coding",106,"539"
"GNB1",105811,13,32,"protein_coding",NA,NA
"GNB1-DT",1549,1,3,"lncRNA",515.5,"519"
"CALML6",3543,2,7,"protein_coding",123,"136"
"TMEM52",1716,3,8,"protein_coding",92,"100"
"CFAP74",82708,1,39,"protein_coding",130,"1028.5"
"LOC107984872",1662,1,3,"lncRNA",138,"305"
"LOC105378589",4877,1,3,"lncRNA",2257,"364"
"GABRD",11413,3,11,"protein_coding",147,"389.5"
