"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length","Intron_Length","splice5","splice3","codingpotential","branchpt_len"
"ENSG00000160072",26083,6,28,"protein_coding",105.5,1194,1,0,0.998582,"204"
"ENSG00000228037",2973,1,3,"lncRNA",126,1174,1,0,0.258596,"145.5"
"ENSG00000142611",369453,10,35,"protein_coding",170,4646,1,0,1,"143.5"
"ENSG00000284616",5466,1,4,"lncRNA",265,1323,1,0,0.0270435,"33"
"ENSG00000157911",9833,9,27,"protein_coding",175,1512,1,0,0.959025,"110.5"
"ENSG00000226374",4477,3,10,"lncRNA",160,628,1,0,0.0493108,"93.5"
"ENSG00000142655",158470,4,16,"protein_coding",92,11783,1,0,0.3264846,"117"
"ENSG00000232596",22535,8,18,"lncRNA",124.5,840,1,0,0.0507554,"40"
"ENSG00000235054",12662,12,22,"lncRNA",332.5,724,1,0,0.13179,"24"
"ENSG00000231510",4440,1,4,"lncRNA",117,1681,4,0,0.0272372,"23"
"ENSG00000149527",79552,8,41,"protein_coding",137,913,5,0,1,"188"
"ENSG00000284739",9344,1,3,"lncRNA",136,4440.5,1,0,0.027659,"35"
"ENSG00000171621",76638,4,9,"protein_coding",629.5,10862,1,0,0.999873,"76"
"ENSG00000284694",5244,1,2,"lncRNA",1701,1843,1,0,0.2935,"54"
"ENSG00000224387",958,1,2,"lncRNA",227.5,504,1,0,0.236163,"225"
"ENSG00000142583",53372,10,30,"protein_coding",126,622,1,0,0.18872,"61"
"ENSG00000284674",8187,1,5,"lncRNA",130,1381.5,1,0,0.23866,"26.5"
"ENSG00000116786",50449,5,29,"protein_coding",110,602,4,0,1,"141"
"ENSG00000287727",4230,1,2,"lncRNA",1438,1355,1,0,0.0441069,"162"
"ENSG00000286448",1800,1,2,"lncRNA",368,1065,1,0,0.041371,"10"
"ENSG00000284703",6587,1,2,"lncRNA",2408.5,1771,1,0,0.144894,"47"
"ENSG00000173614",42073,5,14,"protein_coding",171,4329,1,0,0.975174,"6.5"
"ENSG00000241326",1427,1,2,"lncRNA",218,992,1,0,0.0116703,"13"
"ENSG00000162592",25185,3,20,"protein_coding",140.5,1215,1,0,1,"231"
"ENSG00000204624",58396,3,25,"protein_coding",160,742.5,4,0,0.999369,"157.5"
"ENSG00000142606",42377,8,37,"protein_coding",96,624,4,0,0.113894,"185"
"ENSG00000225931",3478,1,3,"TEC",196,1091,1,0,0.184818,"104.5"
"ENSG00000171729",67946,6,14,"protein_coding",537,4332,1,0,0.9999375,"49"
"ENSG00000229393",1042,1,2,"lncRNA",257,529,1,0,0.126525,"220"
"ENSG00000037637",105640,4,16,"protein_coding",126,1979,1,0,0.64319,"46"
"ENSG00000287586",4781,2,4,"lncRNA",1515,505,1,0,0.158887,"18"
"ENSG00000159423",31294,6,26,"protein_coding",119,1124.5,1,0,1,"278"
"ENSG00000227169",410,1,2,"lncRNA",178,55,1,0,0.0038097,"24"
"ENSG00000011021",41983,9,46,"protein_coding",126,840,1,0,0.9999915,"74"
"ENSG00000142615",15363,3,12,"protein_coding",115.5,1241,1,0,0.200479,"140"
"ENSG00000215704",25486,4,14,"protein_coding",115,1238,1,0,0.384817,"139"
"ENSG00000157916",13667,9,25,"protein_coding",105,1271,1,0,0.247573,"37"
"ENSG00000157881",18060,11,43,"protein_coding",105,498,1,0,0.253739,"132"
"ENSG00000238290",95964,1,3,"lncRNA",684,46960.5,1,0,0.0319851,"79.5"
"ENSG00000225387",2685,1,2,"lncRNA",245.5,2195,1,0,0.01454,"128"
"ENSG00000048707",282017,20,109,"protein_coding",150,2322,4,0,0.218563,"26"
"ENSG00000162444",18815,2,7,"protein_coding",141.5,7507,1,0,0.2496337,"4"
"ENSG00000180758",28797,3,8,"protein_coding",336,5595,1,0,0.165956,"85"
"ENSG00000184677",102319,4,23,"protein_coding",193,1754,1,0,1,"25"
"ENSG00000224621",2617,1,2,"lncRNA",272,2074,2,0,0.00633093,"49"
"ENSG00000285833",1213,1,2,"lncRNA",525.5,163,1,0,0.747776,NA
"ENSG00000131697",129662,11,54,"protein_coding",156.5,3401,4,0,0.682107,"124"
"ENSG00000284692",14321,3,8,"lncRNA",222,147,1,0,0.0376233,"24.5"
"ENSG00000284745",8049,2,5,"lncRNA",429,624.5,1,0,0.343148,"24"
"ENSG00000285945",16642,1,3,"lncRNA",206,8025,1,0,0.00938885,"233.5"
"ENSG00000197921",1518,1,3,"protein_coding",166,97.5,1,0,0.866568,NA
"ENSG00000233755",69413,2,5,"lncRNA",241,8907,1,0,0.03046225,"9"
"ENSG00000234166",503,1,2,"lncRNA",219.5,65,1,0,0.0132024,NA
"ENSG00000055070",45570,10,25,"protein_coding",252,1804.5,1,0,0.1261935,"31"
"ENSG00000175087",14390,4,10,"protein_coding",302,2871,1,0,0.999976,"25"
"ENSG00000157191",19357,12,30,"protein_coding",109,2778,1,0,0.953686,"134"
"ENSG00000230035",12417,1,4,"lncRNA",59,2877,1,0,0.0490033,"26"
"ENSG00000225643",8878,1,2,"lncRNA",241.5,8396,1,0,0.0241877,"51"
"ENSG00000284666",1241,1,2,"lncRNA",304.5,633,1,0,0.0767587,"4"
"ENSG00000284309",2434,1,2,"lncRNA",470.5,1494,1,0,0.0744666,"44"
"ENSG00000162511",25305,3,12,"protein_coding",106,1255,1,0,0.459218,"190"
"ENSG00000158014",8866,3,11,"protein_coding",160,689,1,0,0.999999,"199"
"ENSG00000204138",130782,9,36,"protein_coding",154,3442,1,0,0.999973,"21"
"ENSG00000235263",2379,1,2,"lncRNA",354,1672,1,0,0.0809989,"54"
"ENSG00000228176",696,1,2,"lncRNA",249,199,1,0,0.0218471,"76"
"ENSG00000142675",12400,14,49,"protein_coding",85,169,1,0,0.21376,"92"
"ENSG00000197245",4883,1,2,"protein_coding",1399.5,2085,1,0,0.9974,"211"
"ENSG00000130772",6963,5,12,"protein_coding",141,1416,4,0,0.997462,"34"
"ENSG00000284676",35422,1,5,"lncRNA",270,6107.5,1,0,0.217195,"8.5"
"ENSG00000237058",4052,1,2,"lncRNA",186.5,3680,1,0,0.0147565,"49"
"ENSG00000233399",23660,1,7,"lncRNA",201,2765,1,0,0.0829623,"14.5"
"ENSG00000090020",68172,6,24,"protein_coding",218,1560,1,0,0.6659215,"204"
"ENSG00000157978",25280,7,23,"protein_coding",115,1510.5,1,0,0.294674,"292.5"
"ENSG00000130770",10797,4,9,"protein_coding",147,90,1,0,0.313194,"35"
"ENSG00000229044",13732,1,3,"lncRNA",116,6647,1,0,0.0167125,"26"
"ENSG00000162512",39292,4,13,"protein_coding",462,1710,1,0,0.551551,"125.5"
"ENSG00000158006",38350,7,23,"protein_coding",139.5,1899,1,0,0.156435,"86"
"ENSG00000126698",33573,6,21,"protein_coding",92,2684,1,0,0.273792,"14.5"
"ENSG00000229607",5175,1,2,"lncRNA",222,4732,1,0,0.486277,"29"
"ENSG00000130766",22973,1,10,"protein_coding",187,666,1,0,1,"76.5"
"ENSG00000168528",25115,6,20,"protein_coding",162,828,1,0,1,"119"
"ENSG00000196581",137925,3,10,"protein_coding",320,5414,1,0,0.998775,"107"
"ENSG00000169403",46770,3,6,"protein_coding",215,25532,1,0,0.999796,"28"
"ENSG00000084628",60142,5,15,"protein_coding",138,1229,1,0,0.13493,"105"
"ENSG00000060688",37220,7,21,"protein_coding",122,2315.5,1,0,0.169558,"23.5"
"ENSG00000171612",45708,1,7,"protein_coding",180,4764,1,0,0.990066,"28.5"
"ENSG00000188910",5155,2,4,"protein_coding",1096,2627,1,0,0.999399,"32"
"ENSG00000230523",20494,1,3,"lncRNA",432,9173.5,1,0,0.0856667,"15.5"
"ENSG00000116138",65566,10,37,"protein_coding",159,2129,1,0,0.890831,"22"
"ENSG00000158161",118293,7,31,"protein_coding",101,3843,1,0,1,"14.5"
"ENSG00000142684",965,2,5,"protein_coding",276,234,1,0,0.7720305,"163"
"ENSG00000121769",11597,4,13,"protein_coding",154,1890,1,0,0.3058284,"77"
"ENSG00000142627",31732,4,22,"protein_coding",156,594,1,0,0.295766,"149"
"ENSG00000284668",36571,3,11,"lncRNA",109,1058,1,0,0.0349864,"88"
"ENSG00000233234",842,1,2,"lncRNA",303.5,236,1,0,0.0475104,"73"
"ENSG00000142632",14798,6,25,"protein_coding",152,311,1,0,0.0731833,"129.5"
"ENSG00000234593",81148,7,18,"lncRNA",157,7217,1,0,0.0607653,"10"
"ENSG00000189337",1225251,9,30,"protein_coding",171,8237,1,0,0.999999,"112"
"ENSG00000235143",2096,1,2,"lncRNA",873.5,350,1,0,0.0674219,"217"
"ENSG00000028137",42237,4,16,"protein_coding",129,856,1,0,0.8038205,"146"
"ENSG00000204464",6973,2,3,"lncRNA",137,4561,1,0,0.286003,"19.5"
"ENSG00000233372",1344,1,2,"lncRNA",275.5,794,1,0,0.109939,"1"
"ENSG00000283259",2870,1,10,"lncRNA",118,82,1,0,0.0261189,"20"
"ENSG00000284543",77080,9,26,"lncRNA",132,9216.5,4,0,0.0515885,"50"
"ENSG00000130939",148407,10,45,"protein_coding",139,2423,4,0,0.341447,"32"
"ENSG00000175147",41803,6,17,"lncRNA",168,3168,4,0,0.386329,"42.5"
"ENSG00000127472",63732,8,28,"protein_coding",145,2386.5,1,0,0.363072,"119.5"
"ENSG00000060656",90297,11,53,"protein_coding",139,792,1,0,0.920601,"206"
"ENSG00000163867",45780,9,34,"protein_coding",151,1113.5,4,0,0.480509,"5"
"ENSG00000189280",3465,1,2,"protein_coding",677.5,2111,1,0,0.999808,"19"
"ENSG00000134698",49874,3,22,"protein_coding",142.5,1419,4,0,0.0598174,"16"
"ENSG00000134690",17238,2,13,"protein_coding",96,1433,1,0,0.999263,"40.5"
"ENSG00000132881",5491,2,7,"protein_coding",153,420,1,0,0.5089043,"90.5"
"ENSG00000273274",31614,1,4,"protein_coding",605.5,5478,1,0,1,"20"
"ENSG00000236648",32353,4,11,"lncRNA",161,815,4,0,0.2665385,"35"
"ENSG00000009709",118020,3,14,"protein_coding",200,2614,1,0,1,"161"
"ENSG00000287396",3711,1,2,"lncRNA",331.5,3049,1,0,0.0230601,"25"
"ENSG00000158008",16580,4,16,"protein_coding",120,639.5,1,0,0.3333108,"140"
"ENSG00000130940",160046,9,36,"protein_coding",155,1254,1,0,0.998563,"216"
"ENSG00000116771",13352,1,7,"protein_coding",196,1169.5,1,0,0.999998,"37.5"
"ENSG00000237301",17490,1,2,"lncRNA",1422.5,14646,1,0,0.0604253,"98"
"ENSG00000163879",9938,6,15,"protein_coding",167.5,1578,1,0,0.485946,"39"
"ENSG00000227527",2990,1,2,"lncRNA",330.5,2330,1,0,0.0436668,"156"
"ENSG00000116954",21574,4,12,"protein_coding",200,2773,1,0,0.206144,"23.5"
"ENSG00000163873",238988,4,22,"protein_coding",182,5748,1,0,0.75,"100"
"ENSG00000117215",7627,2,6,"protein_coding",145,2073,1,0,0.3907147,"136"
"ENSG00000196449",5263,1,5,"protein_coding",143,440,1,0,0.998699,"35"
"ENSG00000230163",861,1,2,"lncRNA",360,142,1,0,0.0277668,"50"
"ENSG00000044012",2410,1,3,"protein_coding",187,903.5,1,0,0.746041,"184"
"ENSG00000179051",32917,3,17,"protein_coding",132,2070,1,0,1,"91"
"ENSG00000284650",2657,1,2,"lncRNA",519.5,1619,1,0,0.263127,"55"
"ENSG00000236948",106586,2,5,"lncRNA",186,80565,1,0,0.09336375,"18"
"ENSG00000126067",41985,3,9,"protein_coding",123,3963,1,0,0.0820036,"40"
"ENSG00000132906",35702,11,30,"protein_coding",177,1271,1,0,0.999841,"58"
"ENSG00000197312",51586,6,20,"protein_coding",129.5,4721,1,0,0.77191,"26"
"ENSG00000284748",11210,1,2,"lncRNA",663,9885,1,0,0.0388603,"20"
"ENSG00000272078",15092,1,2,"lncRNA",3961.5,7170,1,0,0.991746,"9"
"ENSG00000173660",13078,4,10,"protein_coding",142.5,5280,1,0,0.131693,"26"
"ENSG00000224592",71711,2,8,"lncRNA",116,7588.5,1,0,0.0466828,"46.5"
"ENSG00000233728",1159,1,2,"lncRNA",350,460,1,0,0.0378298,"4"
"ENSG00000231606",82558,2,6,"lncRNA",217,21500,1,0,0.124659,"36"
"ENSG00000284632",61763,3,7,"lncRNA",185,19165,1,0,0.202567,"40"
"ENSG00000054118",80925,4,21,"protein_coding",168,1944,4,0,1,"25"
"ENSG00000254553",135735,1,8,"protein_coding",174.5,5478,1,0,1,"20"
"ENSG00000284653",29900,1,4,"lncRNA",586.5,6067,1,0,0.0821019,"16"
"ENSG00000276747",29503,1,16,"protein_coding",125,1407,1,0,1,"170"
"ENSG00000284705",6629,1,2,"lncRNA",1347,3936,1,0,0.261388,"97"
"ENSG00000159339",55809,5,24,"protein_coding",119,2139,1,0,0.319799,"73"
"ENSG00000197982",2475,4,8,"protein_coding",476,245,1,0,0.201582,"91"
"ENSG00000261781",8755,1,3,"lncRNA",191,3142.5,1,0,0.0806912,"125.5"
"ENSG00000183317",51253,11,47,"protein_coding",150,988,4,0,0.999395,"135"
"ENSG00000183386",8836,5,11,"protein_coding",175.5,124,1,0,0.918298,"129"
"ENSG00000284743",1618,1,2,"lncRNA",337,945,1,0,0.0347621,"38"
"ENSG00000158315",56023,3,12,"protein_coding",149,4127,1,0,0.999996,"24"
"ENSG00000204084",86360,11,41,"protein_coding",112,1633,7,0,0.999912,"35"
"ENSG00000186973",11243,6,11,"protein_coding",124.5,2975,1,0,0.1516415,"34"
"ENSG00000146463",153349,6,42,"protein_coding",151,910,1,0,0.4444865,"17"
"ENSG00000183520",15562,4,14,"protein_coding",112.5,735,1,0,0.552275,"24"
"ENSG00000271741",50208,1,3,"protein_coding",154,1584.5,1,0,1,"8.5"
