"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length","Intron_Length","splice5","splice3"
"LOC124905685",2818,1,2,"lncRNA",141.5,2536,"1","0"
"LOC101928626",1633,1,3,"lncRNA",267,416,"1","0"
"LOC100288069",52902,1,20,"lncRNA",150.5,2061,"1","0"
"LINC01409",8423,2,4,"lncRNA",1573.5,4060.5,"1","0"
"FAM87B",2463,1,2,"lncRNA",972,520,"1","0"
"LINC01128",31853,3,8,"lncRNA",168.5,1226,"1","0"
"LOC107984850",8020,2,5,"lncRNA",783,3986,"1","0"
"FAM41C",9675,1,3,"lncRNA",605,3985,"1","0"
"LOC124905686",3726,1,4,"lncRNA",285.5,305,"1","0"
"LINC02593",2874,1,5,"lncRNA",226,419,"1","0"
"LOC107985728",5350,1,5,"lncRNA",131,219.5,"1","0"
"SAMD11",19750,2,17,"protein_coding",125,509.5,"1","0"
"NOC2L",15096,1,19,"protein_coding",114,432,"1","0"
"KLHL17",5056,7,23,"protein_coding",175,191,"4","0"
"PERM1",8026,2,9,"protein_coding",1072,1017,"1","0"
"ISG15",1043,1,2,"protein_coding",318.5,407,"1","0"
"AGRN",35934,4,43,"protein_coding",149,134,"1","0"
"LOC100288175",6662,1,4,"lncRNA",117.5,2597,"1","2"
"LOC105378948",3781,1,6,"lncRNA",274,1402.5,"1","0"
"RNF223",3339,1,2,"protein_coding",950,1440,"1","0"
"C1orf159",34268,1,13,"protein_coding",85,1126,"1","0"
"LOC124903820",33238,2,4,"lncRNA",1191,1804,"1","0"
"LINC01342",7038,1,3,"lncRNA",208,2709.5,"1","0"
"TTLL10-AS1",6499,1,2,"lncRNA",1766,2968,"1","0"
"TTLL10",23840,10,26,"protein_coding",130,429,"1","0"
"TNFRSF18",3084,1,8,"protein_coding",165.5,883,"1","0"
"TNFRSF4",2827,4,11,"protein_coding",129,242,"1","0"
"SDF4",15074,3,10,"protein_coding",159,1857,"1","0"
"UBE2J2",19961,7,17,"protein_coding",121,866,"1","0"
"SCNN1D",14108,1,18,"protein_coding",113,166.5,"4","0"
"PUSL1",3080,4,13,"protein_coding",163,239,"1","0"
"INTS11",13094,2,25,"protein_coding",99,116,"1","0"
"TAS1R3",4040,2,9,"protein_coding",279,114,"1","0"
"DVL1",14181,2,18,"protein_coding",122,205,"1","0"
"MXRA8",10862,4,16,"protein_coding",102,121,"1","0"
"AURKAIP1",1471,1,6,"protein_coding",126.5,259,"1","0"
"CCNL2",14899,5,26,"protein_coding",115,494.5,"1","0"
"MRPL20-AS1",2516,1,3,"lncRNA",160,384.5,"1","0"
"MRPL20",5384,1,5,"protein_coding",137,1022,"1","0"
"ANKRD65",3967,3,11,"protein_coding",190,696.5,"1","0"
"ANKRD65-AS1",2811,1,2,"lncRNA",454,1904,"1","0"
"TMEM88B",6815,1,4,"protein_coding",484,426,"1","0"
"LINC01770",4416,1,4,"lncRNA",446,3525,"2","0"
"LOC107985729",2316,1,4,"protein_coding",158,133,"1","0"
"VWA1",7192,1,4,"protein_coding",558,1350.5,"1","0"
"ATAD3C",20473,1,12,"protein_coding",117,1287,"1","0"
"ATAD3B",37834,10,30,"protein_coding",117,982,"1","0"
"ATAD3A",22523,4,22,"protein_coding",105.5,1150,"1","0"
"TMEM240",5846,1,4,"protein_coding",272,499,"1","0"
"SSU72",33192,1,5,"protein_coding",144,5632,"1","0"
"LOC105378586",7777,1,3,"lncRNA",184,3603,"1","0"
"MIB2",16874,5,31,"protein_coding",149,189,"4","0"
"CDK11B",23957,12,36,"protein_coding",122,548,"1","0"
"SLC35E2B",31291,1,10,"protein_coding",136,1274,"1","0"
"MMP23A",1869,1,6,"transcribed_pseudogene",149.5,120,"1","0"
"CDK11A",21914,1,24,"protein_coding",122,548,"1","0"
"SLC35E2A",18686,2,8,"transcribed_pseudogene",347,1612.5,"1","0"
"LOC112268218",5973,1,2,"lncRNA",953.5,4067,"1","0"
"NADK",29251,7,24,"protein_coding",106,539,"4","0"
"GNB1-DT",1549,1,3,"lncRNA",515.5,519,"1","0"
"CALML6",3543,2,7,"protein_coding",123,136,"1","0"
"TMEM52",1716,3,8,"protein_coding",92,100,"1","0"
