"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type"
"LOC127239154",130974,3,7,"lncRNA"
"LOC124905685",2818,1,2,"lncRNA"
"LOC101928626",1633,1,3,"lncRNA"
"OR4F16",937,1,2,"protein_coding"
"SEPTIN14P14",2583,NA,NA,"pseudogene"
"CICP3",3770,NA,NA,"pseudogene"
"LOC100288069",52902,1,20,"lncRNA"
"RNU6-1199P",103,NA,NA,"pseudogene"
"LINC01409",8423,2,4,"lncRNA"
"FAM87B",2463,1,2,"lncRNA"
"LINC00115",1316,1,1,"lncRNA"
"LINC01128",31853,3,8,"lncRNA"
"LOC107984850",8020,2,5,"lncRNA"
"FAM41C",9675,1,3,"lncRNA"
"TUBB8P11",1223,NA,NA,"pseudogene"
"LOC124905686",3726,1,4,"lncRNA"
"LINC02593",2874,1,5,"lncRNA"
"LOC107985728",5350,1,5,"lncRNA"
"SAMD11",19750,2,17,"protein_coding"
"NOC2L",15096,1,19,"protein_coding"
"KLHL17",5056,7,23,"protein_coding"
"PLEKHN1",9381,4,23,"protein_coding"
"PERM1",8026,2,9,"protein_coding"
"HES4",1133,1,6,"protein_coding"
"RPL39P12",230,NA,NA,"pseudogene"
"ISG15",1043,1,2,"protein_coding"
"AGRN",35934,4,43,"protein_coding"
"LOC100288175",6662,1,4,"lncRNA"
"LOC105378948",3781,1,6,"lncRNA"
"RNF223",3339,1,2,"protein_coding"
"C1orf159",34268,1,13,"protein_coding"
"LOC124903820",33238,2,4,"lncRNA"
"LINC01342",7038,1,3,"lncRNA"
"LOC124903818",7662,1,2,"lncRNA"
"MIR200B",94,3,3,"miRNA"
"MIR200A",89,3,3,"miRNA"
"MIR429",82,2,2,"miRNA"
"TTLL10-AS1",6499,1,2,"lncRNA"
"TTLL10",23840,10,26,"protein_coding"
"TNFRSF18",3084,1,8,"protein_coding"
"TNFRSF4",2827,4,11,"protein_coding"
"SDF4",15074,3,10,"protein_coding"
"B3GALT6",2804,1,1,"protein_coding"
"C1QTNF12",5260,3,13,"protein_coding"
"UBE2J2",19961,7,17,"protein_coding"
"SCNN1D",14108,1,18,"protein_coding"
"ACAP3",15562,3,27,"protein_coding"
"MIR6726",60,3,3,"miRNA"
"SNORD167",83,1,1,"snoRNA"
"PUSL1",3080,4,13,"protein_coding"
"INTS11",13094,2,25,"protein_coding"
"MIR6727",64,3,3,"miRNA"
"CPTP",4094,1,5,"protein_coding"
"TAS1R3",4040,2,9,"protein_coding"
"DVL1",14181,2,18,"protein_coding"
"MIR6808",58,3,3,"miRNA"
"MXRA8",10862,4,16,"protein_coding"
"AURKAIP1",1471,1,6,"protein_coding"
"CCNL2",14899,5,26,"protein_coding"
"MRPL20-AS1",2516,1,3,"lncRNA"
"MRPL20",5384,1,5,"protein_coding"
"RN7SL657P",292,NA,NA,"pseudogene"
"MRPL20-DT",2336,1,1,"lncRNA"
"ANKRD65",3967,3,11,"protein_coding"
"ANKRD65-AS1",2811,1,2,"lncRNA"
"TMEM88B",6815,1,4,"protein_coding"
"LINC01770",4416,1,4,"lncRNA"
"LOC107985729",2316,1,4,"protein_coding"
"VWA1",7192,1,4,"protein_coding"
"ATAD3C",20473,1,12,"protein_coding"
"ATAD3B",37834,10,30,"protein_coding"
"ATAD3A",22523,4,22,"protein_coding"
"TMEM240",5846,1,4,"protein_coding"
"SSU72",33192,1,5,"protein_coding"
"FNDC10",2123,1,1,"protein_coding"
