"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length"
"ENSG00000160072",26083,6,28,"protein_coding","105.5"
"ENSG00000279928",1478,1,5,"unprocessed_pseudogene",NA
"ENSG00000228037",2973,1,3,"lncRNA","126"
"ENSG00000142611",369453,10,35,"protein_coding","170"
"ENSG00000284616",5466,1,4,"lncRNA","265"
"ENSG00000157911",9833,9,27,"protein_coding","175"
"ENSG00000269896",2406,2,2,"transcribed_processed_pseudogene",NA
"ENSG00000228463",101817,6,15,"transcribed_processed_pseudogene",NA
"ENSG00000260972",1696,1,1,"lncRNA","1697"
"ENSG00000224340",336,1,1,"processed_pseudogene",NA
"ENSG00000226374",4477,3,10,"lncRNA","160"
"ENSG00000229280",371,1,1,"processed_pseudogene",NA
"ENSG00000142655",158470,4,16,"protein_coding","92"
"ENSG00000232596",22535,8,18,"lncRNA","124.5"
"ENSG00000235054",12662,12,22,"lncRNA","332.5"
"ENSG00000231510",4440,1,4,"lncRNA","117"
"ENSG00000149527",79552,8,41,"protein_coding","137"
"ENSG00000284739",9344,1,3,"lncRNA","136"
"ENSG00000171621",76638,4,9,"protein_coding","629.5"
"ENSG00000272235",3460,1,1,"lncRNA","3461"
"ENSG00000284694",5244,1,2,"lncRNA","1701"
"ENSG00000224387",958,1,2,"lncRNA","227.5"
"ENSG00000142583",53372,10,30,"protein_coding","126"
"ENSG00000284674",8187,1,5,"lncRNA","130"
"ENSG00000224338",564,1,1,"processed_pseudogene",NA
"ENSG00000116786",50449,5,29,"protein_coding","110"
"ENSG00000287727",4230,1,2,"lncRNA","1438"
"ENSG00000286448",1800,1,2,"lncRNA","368"
"ENSG00000284703",6587,1,2,"lncRNA","2408.5"
"ENSG00000226457",380,1,1,"processed_pseudogene",NA
"ENSG00000173614",42073,5,14,"protein_coding","171"
"ENSG00000215720",1017,1,2,"processed_pseudogene",NA
"ENSG00000241326",1427,1,2,"lncRNA","218"
"ENSG00000233623",977,1,2,"processed_pseudogene",NA
"ENSG00000162592",25185,3,20,"protein_coding","140.5"
"ENSG00000204624",58396,3,25,"protein_coding","160"
"ENSG00000142606",42377,8,37,"protein_coding","96"
"ENSG00000225931",3478,1,3,"TEC","196"
"ENSG00000171729",67946,6,14,"protein_coding","537"
"ENSG00000279457",10194,1,10,"unprocessed_pseudogene",NA
"ENSG00000229393",1042,1,2,"lncRNA","257"
"ENSG00000037637",105640,4,16,"protein_coding","126"
"ENSG00000287586",4781,2,4,"lncRNA","1515"
"ENSG00000159423",31294,6,26,"protein_coding","119"
"ENSG00000227169",410,1,2,"lncRNA","178"
"ENSG00000283356",134,1,1,"unprocessed_pseudogene",NA
"ENSG00000011021",41983,9,46,"protein_coding","126"
"ENSG00000142615",15363,3,12,"protein_coding","115.5"
"ENSG00000215704",25486,4,14,"protein_coding","115"
"ENSG00000157916",13667,9,25,"protein_coding","105"
"ENSG00000157881",18060,11,43,"protein_coding","105"
"ENSG00000238290",95964,1,3,"lncRNA","684"
"ENSG00000225387",2685,1,2,"lncRNA","245.5"
"ENSG00000048707",282017,20,109,"protein_coding","150"
"ENSG00000225196",315,1,1,"processed_pseudogene",NA
"ENSG00000162444",18815,2,7,"protein_coding","141.5"
"ENSG00000279625",1852,1,1,"TEC","1853"
"ENSG00000180758",28797,3,8,"protein_coding","336"
"ENSG00000184677",102319,4,23,"protein_coding","193"
"ENSG00000288398",2661,1,1,"lncRNA","2662"
"ENSG00000224621",2617,1,2,"lncRNA","272"
"ENSG00000285833",1213,1,2,"lncRNA","525.5"
"ENSG00000131697",129662,11,54,"protein_coding","156.5"
"ENSG00000284692",14321,3,8,"lncRNA","222"
"ENSG00000284745",8049,2,5,"lncRNA","429"
"ENSG00000280222",6472,1,1,"TEC","6473"
"ENSG00000285945",16642,1,3,"lncRNA","206"
"ENSG00000197921",1518,1,3,"protein_coding","166"
"ENSG00000233755",69413,2,5,"lncRNA","241"
"ENSG00000233929",185,1,1,"processed_pseudogene",NA
"ENSG00000271742",255,1,1,"lncRNA","256"
"ENSG00000234166",503,1,2,"lncRNA","219.5"
"ENSG00000235282",265,1,1,"processed_pseudogene",NA
"ENSG00000055070",45570,10,25,"protein_coding","252"
"ENSG00000175087",14390,4,10,"protein_coding","302"
"ENSG00000157191",19357,12,30,"protein_coding","109"
"ENSG00000230035",12417,1,4,"lncRNA","59"
"ENSG00000225643",8878,1,2,"lncRNA","241.5"
"ENSG00000284666",1241,1,2,"lncRNA","304.5"
"ENSG00000228943",559,1,2,"processed_pseudogene",NA
"ENSG00000234397",491,1,1,"processed_pseudogene",NA
"ENSG00000284309",2434,1,2,"lncRNA","470.5"
"ENSG00000162511",25305,3,12,"protein_coding","106"
"ENSG00000158014",8866,3,11,"protein_coding","160"
"ENSG00000204138",130782,9,36,"protein_coding","154"
"ENSG00000233419",401,1,1,"processed_pseudogene",NA
"ENSG00000235263",2379,1,2,"lncRNA","354"
"ENSG00000228176",696,1,2,"lncRNA","249"
"ENSG00000231251",92,1,1,"processed_pseudogene",NA
"ENSG00000142675",12400,14,49,"protein_coding","85"
"ENSG00000197245",4883,1,2,"protein_coding","1399.5"
"ENSG00000130772",6963,5,12,"protein_coding","141"
"ENSG00000215899",1341,1,1,"processed_pseudogene",NA
"ENSG00000271398",424,1,1,"lncRNA","425"
"ENSG00000225011",8700,1,2,"unprocessed_pseudogene",NA
"ENSG00000235069",234,1,1,"processed_pseudogene",NA
"ENSG00000284676",35422,1,5,"lncRNA","270"
"ENSG00000237058",4052,1,2,"lncRNA","186.5"
"ENSG00000233399",23660,1,7,"lncRNA","201"
"ENSG00000090020",68172,6,24,"protein_coding","218"
"ENSG00000157978",25280,7,23,"protein_coding","115"
"ENSG00000130770",10797,4,9,"protein_coding","147"
"ENSG00000229044",13732,1,3,"lncRNA","116"
"ENSG00000162512",39292,4,13,"protein_coding","462"
"ENSG00000158006",38350,7,23,"protein_coding","139.5"
"ENSG00000214812",872,1,2,"processed_pseudogene",NA
"ENSG00000126698",33573,6,21,"protein_coding","92"
"ENSG00000229447",436,1,1,"processed_pseudogene",NA
"ENSG00000229607",5175,1,2,"lncRNA","222"
"ENSG00000130766",22973,1,10,"protein_coding","187"
"ENSG00000168528",25115,6,20,"protein_coding","162"
"ENSG00000196581",137925,3,10,"protein_coding","320"
"ENSG00000169403",46770,3,6,"protein_coding","215"
"ENSG00000084628",60142,5,15,"protein_coding","138"
"ENSG00000060688",37220,7,21,"protein_coding","122"
"ENSG00000171612",45708,1,7,"protein_coding","180"
"ENSG00000270927",492,1,1,"processed_pseudogene",NA
"ENSG00000188910",5155,2,4,"protein_coding","1096"
"ENSG00000230523",20494,1,3,"lncRNA","432"
"ENSG00000116138",65566,10,37,"protein_coding","159"
"ENSG00000158161",118293,7,31,"protein_coding","101"
"ENSG00000142684",965,2,5,"protein_coding","276"
"ENSG00000121769",11597,4,13,"protein_coding","154"
"ENSG00000142627",31732,4,22,"protein_coding","156"
"ENSG00000284668",36571,3,11,"lncRNA","109"
"ENSG00000233234",842,1,2,"lncRNA","303.5"
"ENSG00000142632",14798,6,25,"protein_coding","152"
"ENSG00000234593",81148,7,18,"lncRNA","157"
"ENSG00000270605",1944,1,1,"lncRNA","1945"
"ENSG00000189337",1225251,9,30,"protein_coding","171"
"ENSG00000235084",446,1,1,"processed_pseudogene",NA
"ENSG00000235143",2096,1,2,"lncRNA","873.5"
"ENSG00000225478",222,1,1,"processed_pseudogene",NA
"ENSG00000028137",42237,4,16,"protein_coding","129"
"ENSG00000204464",6973,2,3,"lncRNA","137"
"ENSG00000233372",1344,1,2,"lncRNA","275.5"
"ENSG00000283259",2870,1,10,"lncRNA","118"
"ENSG00000284543",77080,9,26,"lncRNA","132"
"ENSG00000130939",148407,10,45,"protein_coding","139"
"ENSG00000175147",41803,6,17,"lncRNA","168"
"ENSG00000127472",63732,8,28,"protein_coding","145"
"ENSG00000060656",90297,11,53,"protein_coding","139"
"ENSG00000163867",45780,9,34,"protein_coding","151"
"ENSG00000232768",162,1,1,"processed_pseudogene",NA
"ENSG00000230214",522,1,1,"processed_pseudogene",NA
"ENSG00000189280",3465,1,2,"protein_coding","677.5"
"ENSG00000134698",49874,3,22,"protein_coding","142.5"
"ENSG00000134690",17238,2,13,"protein_coding","96"
"ENSG00000272420",567,1,1,"lncRNA","568"
"ENSG00000132881",5491,2,7,"protein_coding","153"
"ENSG00000273274",31614,1,4,"protein_coding","605.5"
"ENSG00000272510",345,1,1,"lncRNA","346"
"ENSG00000236648",32353,4,11,"lncRNA","161"
"ENSG00000232273",531,1,1,"processed_pseudogene",NA
"ENSG00000009709",118020,3,14,"protein_coding","200"
"ENSG00000287396",3711,1,2,"lncRNA","331.5"
"ENSG00000223589",339,1,1,"processed_pseudogene",NA
"ENSG00000158008",16580,4,16,"protein_coding","120"
"ENSG00000130940",160046,9,36,"protein_coding","155"
"ENSG00000116771",13352,1,7,"protein_coding","196"
"ENSG00000237301",17490,1,2,"lncRNA","1422.5"
"ENSG00000163879",9938,6,15,"protein_coding","167.5"
"ENSG00000227527",2990,1,2,"lncRNA","330.5"
"ENSG00000116954",21574,4,12,"protein_coding","200"
"ENSG00000228589",680,1,1,"processed_pseudogene",NA
"ENSG00000163873",238988,4,22,"protein_coding","182"
"ENSG00000117215",7627,2,6,"protein_coding","145"
"ENSG00000196449",5263,1,5,"protein_coding","143"
"ENSG00000230163",861,1,2,"lncRNA","360"
"ENSG00000227538",1132,1,1,"processed_pseudogene",NA
"ENSG00000236500",224,1,1,"processed_pseudogene",NA
"ENSG00000044012",2410,1,3,"protein_coding","187"
"ENSG00000179051",32917,3,17,"protein_coding","132"
"ENSG00000215895",1959,1,1,"processed_pseudogene",NA
"ENSG00000284650",2657,1,2,"lncRNA","519.5"
"ENSG00000237329",506,1,1,"processed_pseudogene",NA
"ENSG00000236948",106586,2,5,"lncRNA","186"
"ENSG00000126067",41985,3,9,"protein_coding","123"
