"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length"
"LOC127239154",130974,3,7,"lncRNA",NA
"LOC124905685",2818,1,2,"lncRNA","141.5"
"LOC101928626",1633,1,3,"lncRNA","267"
"OR4F16",937,1,2,"protein_coding",NA
"SEPTIN14P14",2583,NA,NA,"pseudogene",NA
"CICP3",3770,NA,NA,"pseudogene",NA
"LOC100288069",52902,1,20,"lncRNA","150.5"
"RNU6-1199P",103,NA,NA,"pseudogene",NA
"LINC01409",8423,2,4,"lncRNA","1573.5"
"FAM87B",2463,1,2,"lncRNA","972"
"LINC00115",1316,1,1,"lncRNA","1317"
"LINC01128",31853,3,8,"lncRNA","168.5"
"LOC107984850",8020,2,5,"lncRNA","783"
"FAM41C",9675,1,3,"lncRNA","605"
"TUBB8P11",1223,NA,NA,"pseudogene",NA
"LOC124905686",3726,1,4,"lncRNA","285.5"
"LINC02593",2874,1,5,"lncRNA","226"
"LOC107985728",5350,1,5,"lncRNA","131"
"SAMD11",19750,2,17,"protein_coding","125"
"NOC2L",15096,1,19,"protein_coding","114"
"KLHL17",5056,7,23,"protein_coding","175"
"PLEKHN1",9381,4,23,"protein_coding",NA
"PERM1",8026,2,9,"protein_coding","1072"
"HES4",1133,1,6,"protein_coding",NA
"RPL39P12",230,NA,NA,"pseudogene",NA
"ISG15",1043,1,2,"protein_coding","318.5"
"AGRN",35934,4,43,"protein_coding","149"
"LOC100288175",6662,1,4,"lncRNA","117.5"
"LOC105378948",3781,1,6,"lncRNA","274"
"RNF223",3339,1,2,"protein_coding","950"
"C1orf159",34268,1,13,"protein_coding","85"
"LOC124903820",33238,2,4,"lncRNA","1191"
"LINC01342",7038,1,3,"lncRNA","208"
"LOC124903818",7662,1,2,"lncRNA",NA
"MIR200B",94,3,3,"miRNA","95"
"MIR200A",89,3,3,"miRNA","90"
"MIR429",82,2,2,"miRNA","83"
"TTLL10-AS1",6499,1,2,"lncRNA","1766"
"TTLL10",23840,10,26,"protein_coding","130"
"TNFRSF18",3084,1,8,"protein_coding","165.5"
"TNFRSF4",2827,4,11,"protein_coding","129"
"SDF4",15074,3,10,"protein_coding","159"
"B3GALT6",2804,1,1,"protein_coding","2805"
"C1QTNF12",5260,3,13,"protein_coding",NA
"UBE2J2",19961,7,17,"protein_coding","121"
