"TranscriptID","CP","GeneID"
"NR_182074.1",0.0649093,"LOC127239154"
"NR_182075.1",0.0649093,"LOC127239154"
"NR_182076.1",0.0834907,"LOC127239154"
"XR_007069731.1",0.0342592,"LOC124905685"
"NR_125957.1",0.0127277,"LOC101928626"
"NM_001005277.1",0.999996,"OR4F16"
"NR_168328.1",0.914859,"LOC100288069"
"XR_007069729.1",0.491875,"LINC01409"
"XR_007069730.1",0.901898,"LINC01409"
"NR_103536.1",0.590738,"FAM87B"
"NR_024321.1",0.79785,"LINC00115"
"NR_047519.1",0.301246,"LINC01128"
"NR_047526.1",0.203335,"LINC01128"
"NR_047525.1",0.301246,"LINC01128"
"XR_007069732.1",0.360474,"LOC107984850"
"XR_007069733.1",0.312132,"LOC107984850"
"NR_027055.1",0.116925,"FAM41C"
"XR_007069734.1",0.0642999,"LOC124905686"
"NR_122045.1",0.633874,"LINC02593"
"NR_168405.1",0.98186,"LOC107985728"
"NM_001385640.1",1,"SAMD11"
"NM_152486.4",1,"SAMD11"
"NM_015658.4",1,"NOC2L"
"NM_198317.3",1,"KLHL17"
"XM_054336254.1",1,"KLHL17"
"XM_054336256.1",1,"KLHL17"
"XM_054336257.1",1,"KLHL17"
"XM_054336255.1",1,"KLHL17"
"XM_054336252.1",1,"KLHL17"
"XM_054336253.1",1,"KLHL17"
"NM_001410697.1",1,"PLEKHN1"
"XM_054339069.1",1,"PLEKHN1"
"XM_054339068.1",1,"PLEKHN1"
"XM_054339070.1",0.99999,"PLEKHN1"
"NM_001291366.2",1,"PERM1"
"NM_001369898.1",1,"PERM1"
"NM_001410700.1",0.923436,"HES4"
"NM_005101.4",0.983332,"ISG15"
"NM_001305275.2",1,"AGRN"
"NM_001364727.2",1,"AGRN"
"XM_054336477.1",1,"AGRN"
"XM_054336475.1",1,"AGRN"
"NR_148960.1",0.00742226,"LOC100288175"
"NR_168432.1",0.103743,"LOC105378948"
"NM_001205252.2",0.976413,"RNF223"
