"TranscriptId","strength5","GeneId"
"NM_001317238.2",8.4,"ATAD3B"
"NR_121638.1",8.94,"LOC100996583"
"NM_022114.4",9.72,"PRDM16"
"NM_002617.4",-3.05,"PEX10"
"NR_147025.1",10.22,"LINC01646"
"NR_027088.1",8.99,"LINC01777"
"NM_001303012.2",10.51,"PLCH2"
"NM_001303013.1",8.91,"PLCH2"
"NM_014638.4",8.91,"PLCH2"
"NM_025106.4",7.2,"SPSB1"
"NM_001328619.2",-17.77,"SLC2A5"
"NM_001328621.2",-17.77,"SLC2A5"
"NM_001135585.2",-17.77,"SLC2A5"
"NM_015164.4",9.6,"PLEKHM2"
"NM_001297779.2",8.99,"NMNAT1"
"NM_001297778.1",8.99,"NMNAT1"
"NM_022787.4",8.99,"NMNAT1"
"NM_152492.3",8.47,"CCDC27"
"NM_020780.2",10.03,"DISP3"
"NM_033467.4",-17.31,"MMEL1"
"NM_001136216.2",7.62,"TMEM51"
"NR_135082.2",9.89,"TMEM51"
"NM_018994.3",-6.97,"FBXO42"
"NM_001161504.2",-13.52,"ALDH4A1"
"NM_001319218.2",-13.52,"ALDH4A1"
"NR_046428.2",9.45,"CLCN6"
"NM_033440.3",11.08,"CELA2A"
"NM_015849.3",11.08,"CELA2B"
"NM_007033.5",1.44,"RER1"
"NM_018216.4",-22.02,"PANK4"
"NM_015378.4",9.46,"VPS13D"
"NM_001083621.2",8.66,"ZBTB40"
"NM_001010926.4",0.85,"HES5"
"NM_001243533.2",8.39,"PDIK1L"
"NM_001243532.2",9.09,"PDIK1L"
"NM_018090.5",6.6,"NECAP2"
"NM_032513.5",-14.79,"SLC30A2"
"NM_001350159.2",10.24,"PHACTR4"
"NM_023923.4",9.27,"PHACTR4"
"NM_001297647.2",7.07,"CNKSR1"
"NM_017638.3",5.35,"MED18"
"NR_110790.1",-8.28,"LINC01648"
"NR_046474.2",-4.93,"SLC9A1"
"NM_014654.4",-10.23,"SDC3"
"NM_031459.5",9.85,"SESN2"
"NM_001199038.2",9.48,"SERINC2"
"NM_178865.5",7.55,"SERINC2"
"NM_001199039.2",6.49,"SERINC2"
"NM_001199037.2",8.34,"SERINC2"
"NM_001042478.2",9.6,"AJAP1"
"NM_024522.3",-8.05,"NKAIN1"
"NM_004814.3",-15.64,"SNRNP40"
"NM_032315.3",9.89,"SLC25A33"
"NR_110758.1",-20.59,"LINC01756"
"NM_001282560.2",-15.38,"EYA3"
"NM_001282562.2",-15.38,"EYA3"
