"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length","Intron_Length","splice5","splice3","codingpotential","branchpt_len","Gene_name","H3K36me3","H3K9me3","H3K4me3","chr_sig"
"ENSG00000160072",26083,6,28,"protein_coding",105.5,1194,1,0,0.998582,204,"ATAD3B","1","0","1","2"
"ENSG00000228037",2973,1,3,"lncRNA",126,1174,1,0,0.258596,145.5,"RP3-395M20","0","0","0","0"
"ENSG00000142611",369453,10,35,"protein_coding",170,4646,1,0,1,143.5,"PRDM16","0","0","0","0"
"ENSG00000284616",5466,1,4,"lncRNA",265,1323,1,0,0.0270435,33,"RP4-703E10","0","0","0","0"
"ENSG00000157911",9833,9,27,"protein_coding",175,1512,1,0,0.959025,110.5,"PEX10","1","1","1","3"
"ENSG00000226374",4477,3,10,"lncRNA",160,628,1,0,0.0493108,93.5,"LINC01345","0","1","0","1"
"ENSG00000142655",158470,4,16,"protein_coding",92,11783,1,0,0.3264846,117,"PEX14","1","1","1","3"
"ENSG00000232596",22535,8,18,"lncRNA",124.5,840,1,0,0.0507554,40,"LINC01646","0","0","0","0"
"ENSG00000235054",12662,12,22,"lncRNA",332.5,724,1,0,0.13179,24,"LINC01777","0","0","0","0"
"ENSG00000231510",4440,1,4,"lncRNA",117,1681,4,0,0.0272372,23,"LINC02782","0","0","0","0"
"ENSG00000149527",79552,8,41,"protein_coding",137,913,5,0,1,188,"PLCH2","0","0","0","0"
"ENSG00000284739",9344,1,3,"lncRNA",136,4440.5,1,0,0.027659,35,"RP4-603B14","0","0","0","0"
"ENSG00000171621",76638,4,9,"protein_coding",629.5,10862,1,0,0.999873,76,"SPSB1","0","0","1","1"
"ENSG00000284694",5244,1,2,"lncRNA",1701,1843,1,0,0.2935,54,"RP5-1166F10","0","0","0","0"
"ENSG00000224387",958,1,2,"lncRNA",227.5,504,1,0,0.236163,225,"RP3-395M20","0","0","0","0"
"ENSG00000142583",53372,10,30,"protein_coding",126,622,1,0,0.18872,61,"SLC2A5","1","1","1","3"
"ENSG00000284674",8187,1,5,"lncRNA",130,1381.5,1,0,0.23866,26.5,"LINC02781","0","0","0","0"
