"Gene_Id","Gene_length","Num_of_Transcripts","Num_of_Exons","Gene_type","Exon_Length","Intron_Length","splice5","splice3","codingpotential","branchpt_len"
"LOC124905685",2818,1,2,"lncRNA",141.5,2536,1,0,0.0342592,"24"
"LOC101928626",1633,1,3,"lncRNA",267,416,1,0,0.0127277,"37"
"LOC100288069",52902,1,20,"lncRNA",150.5,2061,1,0,0.914859,"26"
"LINC01409",8423,2,4,"lncRNA",1573.5,4060.5,1,0,0.6968865,"19.5"
"FAM87B",2463,1,2,"lncRNA",972,520,1,0,0.590738,"8"
"LINC01128",31853,3,8,"lncRNA",168.5,1226,1,0,0.301246,"14"
"LOC107984850",8020,2,5,"lncRNA",783,3986,1,0,0.336303,"5"
"FAM41C",9675,1,3,"lncRNA",605,3985,1,0,0.116925,"134"
"LOC124905686",3726,1,4,"lncRNA",285.5,305,1,0,0.0642999,"8"
"LINC02593",2874,1,5,"lncRNA",226,419,1,0,0.633874,"18"
"LOC107985728",5350,1,5,"lncRNA",131,219.5,1,0,0.98186,"47"
"SAMD11",19750,2,17,"protein_coding",125,509.5,1,0,1,"415"
"NOC2L",15096,1,19,"protein_coding",114,432,1,0,1,"205.5"
"KLHL17",5056,7,23,"protein_coding",175,191,4,0,1,"103"
"PERM1",8026,2,9,"protein_coding",1072,1017,1,0,1,"39"
"ISG15",1043,1,2,"protein_coding",318.5,407,1,0,0.983332,NA
"AGRN",35934,4,43,"protein_coding",149,134,1,0,1,"149"
"LOC100288175",6662,1,4,"lncRNA",117.5,2597,1,2,0.00742226,"102"
"LOC105378948",3781,1,6,"lncRNA",274,1402.5,1,0,0.103743,"43"
"RNF223",3339,1,2,"protein_coding",950,1440,1,0,0.976413,"54"
"C1orf159",34268,1,13,"protein_coding",85,1126,1,0,0.897925,"78.5"
"LOC124903820",33238,2,4,"lncRNA",1191,1804,1,0,0.10657995,"434"
"LINC01342",7038,1,3,"lncRNA",208,2709.5,1,0,0.2091,"193"
"TTLL10-AS1",6499,1,2,"lncRNA",1766,2968,1,0,0.905397,"427"
"TTLL10",23840,10,26,"protein_coding",130,429,1,0,1,"252"
"TNFRSF18",3084,1,8,"protein_coding",165.5,883,1,0,0.996813,"140"
"TNFRSF4",2827,4,11,"protein_coding",129,242,1,0,0.999278,NA
"SDF4",15074,3,10,"protein_coding",159,1857,1,0,1,"220"
"UBE2J2",19961,7,17,"protein_coding",121,866,1,0,0.996124,"286.5"
"SCNN1D",14108,1,18,"protein_coding",113,166.5,4,0,1,"42"
"PUSL1",3080,4,13,"protein_coding",163,239,1,0,0.979929,"177"
"INTS11",13094,2,25,"protein_coding",99,116,1,0,1,"94.5"
"TAS1R3",4040,2,9,"protein_coding",279,114,1,0,1,NA
"DVL1",14181,2,18,"protein_coding",122,205,1,0,1,"399"
"MXRA8",10862,4,16,"protein_coding",102,121,1,0,1,"499"
"AURKAIP1",1471,1,6,"protein_coding",126.5,259,1,0,0.986742,NA
"CCNL2",14899,5,26,"protein_coding",115,494.5,1,0,0.998824,"67"
"MRPL20-AS1",2516,1,3,"lncRNA",160,384.5,1,0,0.376175,"171.5"
"MRPL20",5384,1,5,"protein_coding",137,1022,1,0,0.522014,"13"
"ANKRD65",3967,3,11,"protein_coding",190,696.5,1,0,1,"298"
"ANKRD65-AS1",2811,1,2,"lncRNA",454,1904,1,0,0.155807,"20"
"TMEM88B",6815,1,4,"protein_coding",484,426,1,0,0.640789,"190"
"LINC01770",4416,1,4,"lncRNA",446,3525,2,0,0.167832,"606"
"LOC107985729",2316,1,4,"protein_coding",158,133,1,0,0.998651,NA
"VWA1",7192,1,4,"protein_coding",558,1350.5,1,0,1,"579"
"ATAD3C",20473,1,12,"protein_coding",117,1287,1,0,0.999999,"329"
